"HGNC symbol","Aliases","Common name","Description","Cytogenetic Location","OMIM","Ensembl","UniProt/Swiss-Prot","Entrez Gene","UniGene"
"ASIC2","ACCN; BNC1; MDEG; ACCN1; BNaC1; ASIC2a; hBNaC1","acid sensing ion channel subunit 2","This gene encodes a member of the degenerin/epithelial sodium channel (DEG/ENaC) superfamily. The members of this family are amiloride-sensitive sodium channels that contain intracellular N and C termini, 2 hydrophobic transmembrane regions, and a large extracellular loop, which has many cysteine residues with conserved spacing. The member encoded by this gene may play a role in neurotransmission. In addition, a heteromeric association between this member and acid-sensing (proton-gated) ion channel 3 has been observed to co-assemble into proton-gated channels sensitive to gadolinium. Alternative splicing has been observed at this locus and two variants, encoding distinct isoforms, have been identified. [provided by RefSeq, Feb 2012]","17q11.2-q12","601784","ENSG00000108684","ASIC2_HUMAN","40","368417"
"ASTN1","ASTN","astrotactin 1","Astrotactin is a neuronal adhesion molecule required for glial-guided migration of young postmitotic neuroblasts in cortical regions of developing brain, including cerebrum, hippocampus, cerebellum, and olfactory bulb (Fink et al., 1995).[supplied by OMIM, Jun 2009]","1q25.2","600904","ENSG00000152092","A6H8Y4_HUMAN","460","495897"
"ATCAY","CLAC; BNIP-H","ATCAY, caytaxin","This gene encodes a neuron-restricted protein that contains a CRAL-TRIO motif common to proteins that bind small lipophilic molecules. Mutations in this gene are associated with cerebellar ataxia, Cayman type. [provided by RefSeq, Jul 2008]","19p13.3","608179","ENSG00000167654","A0A0S2Z5T8_HUMAN","85300","418055"
"ATG101","C12orf44","autophagy related 101","","12q13.13","615089","ENSG00000123395","A0A024R128_HUMAN","60673","9911"
"ATG13","KIAA0652; PARATARG8","autophagy related 13","The protein encoded by this gene is an autophagy factor and a target of the TOR kinase signaling pathway. The encoded protein is essential for autophagosome formation and mitophagy. [provided by RefSeq, Oct 2016]","11p11.2","615088","ENSG00000175224","A8K0S6_HUMAN","9776","127403"
"ATG4C","APG4C; AUTL1; AUTL3; APG4-C","autophagy related 4C cysteine peptidase","Autophagy is the process by which endogenous proteins and damaged organelles are destroyed intracellularly. Autophagy is postulated to be essential for cell homeostasis and cell remodeling during differentiation, metamorphosis, non-apoptotic cell death, and aging. Reduced levels of autophagy have been described in some malignant tumors, and a role for autophagy in controlling the unregulated cell growth linked to cancer has been proposed. This gene encodes a member of the autophagin protein family. The encoded protein is also designated as a member of the C-54 family of cysteine proteases. Alternate transcriptional splice variants, encoding the same protein, have been characterized. [provided by RefSeq, Jul 2008]","1p31.3","611339","ENSG00000125703","ATG4C_HUMAN","84938","7353"
"ATM","AT1; ATA; ATC; ATD; ATE; ATDC; TEL1; TELO1","ATM serine/threonine kinase","The protein encoded by this gene belongs to the PI3/PI4-kinase family. This protein is an important cell cycle checkpoint kinase that phosphorylates; thus, it functions as a regulator of a wide variety of downstream proteins, including tumor suppressor proteins p53 and BRCA1, checkpoint kinase CHK2, checkpoint proteins RAD17 and RAD9, and DNA repair protein NBS1. This protein and the closely related kinase ATR are thought to be master controllers of cell cycle checkpoint signaling pathways that are required for cell response to DNA damage and for genome stability. Mutations in this gene are associated with ataxia telangiectasia, an autosomal recessive disorder. [provided by RefSeq, Aug 2010]","11q22.3","607585","ENSG00000149311","A0A024R3C7_HUMAN","472","367437"
"ATP5J2-PTCD1","","ATP5J2-PTCD1 readthrough","This locus represents naturally occurring read-through transcription between the ATP5J2 (ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2) and PTCD1 (pentatricopeptide repeat domain 1) genes on chromosome 7. The read-through transcript encodes a fusion protein that shares sequence identity with each individual gene product. [provided by RefSeq, Nov 2010]","7q22.1","","ENSG00000248919","B4DJ38_HUMAN","100526740","632313"
"ATP8","ATPase8; MTATP8","ATP synthase F0 subunit 8","","MT","516070","","A6YYT8_HUMAN","4509",""
"ATR","FRP1; MEC1; SCKL; FCTCS; SCKL1","ATR serine/threonine kinase","The protein encoded by this gene belongs the PI3/PI4-kinase family, and is most closely related to ATM, a protein kinase encoded by the gene mutated in ataxia telangiectasia. This protein and ATM share similarity with Schizosaccharomyces pombe rad3, a cell cycle checkpoint gene required for cell cycle arrest and DNA damage repair in response to DNA damage. This kinase has been shown to phosphorylate checkpoint kinase CHK1, checkpoint proteins RAD17, and RAD9, as well as tumor suppressor protein BRCA1. Mutations of this gene are associated with Seckel syndrome. An alternatively spliced transcript variant of this gene has been reported, however, its full length nature is not known. Transcript variants utilizing alternative polyA sites exist. [provided by RefSeq, Jul 2008]","3q23","601215","ENSG00000175054","ATR_HUMAN","545","271791"
"ATRIP","","ATR interacting protein","This gene encodes an essential component of the DNA damage checkpoint. The encoded protein binds to single-stranded DNA coated with replication protein A. The protein also interacts with the ataxia telangiectasia and Rad3 related protein kinase, resulting in its accumulation at intranuclear foci induced by DNA damage. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2012]","3p21.31","606605","ENSG00000164053","A0A024R2U4_HUMAN","84126","694840"
"ATXN1","ATX1; SCA1; D6S504E","ataxin 1","The autosomal dominant cerebellar ataxias (ADCA) are a heterogeneous group of neurodegenerative disorders characterized by progressive degeneration of the cerebellum, brain stem and spinal cord. Clinically, ADCA has been divided into three groups: ADCA types I-III. ADCAI is genetically heterogeneous, with five genetic loci, designated spinocerebellar ataxia (SCA) 1, 2, 3, 4 and 6, being assigned to five different chromosomes. ADCAII, which always presents with retinal degeneration (SCA7), and ADCAIII often referred to as the `pure' cerebellar syndrome (SCA5), are most likely homogeneous disorders. Several SCA genes have been cloned and shown to contain CAG repeats in their coding regions. ADCA is caused by the expansion of the CAG repeats, producing an elongated polyglutamine tract in the corresponding protein. The expanded repeats are variable in size and unstable, usually increasing in size when transmitted to successive generations. The function of the ataxins is not known. This locus has been mapped to chromosome 6, and it has been determined that the diseased allele contains 40-83 CAG repeats, compared to 6-39 in the normal allele, and is associated with spinocerebellar ataxia type 1 (SCA1). At least two transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2016]","6p22.3","601556","ENSG00000124788","ATX1_HUMAN","6310","434961"
"ATXN7L3B","lnc-SCA7","ataxin 7 like 3B","","12q21.1","615579","ENSG00000253719","A7L3B_HUMAN","552889","744849"
"BABAM2","BRE; BRCC4; BRCC45","BRISC and BRCA1 A complex member 2","This gene encodes an anti-apoptotic, death receptor-associated protein that interacts with tumor necrosis factor-receptor-1. The encoded protein acts as an adapter in several protein complexes, including the BRCA1-A complex and the BRISC complex. The BRCA1-A complex possesses ubiquitinase activity and targets sites of double strand DNA breaks, while the BRISC complex exhibits deubiquitinase activity and is involved in mitotic spindle assembly. This gene is upregulated in several types of cancer. [provided by RefSeq, Jun 2016]","2p23.2","610497","ENSG00000158019","BRE_HUMAN","9577","258314"
"BAD","BBC2; BCL2L8","BCL2 associated agonist of cell death","The protein encoded by this gene is a member of the BCL-2 family. BCL-2 family members are known to be regulators of programmed cell death. This protein positively regulates cell apoptosis by forming heterodimers with BCL-xL and BCL-2, and reversing their death repressor activity. Proapoptotic activity of this protein is regulated through its phosphorylation. Protein kinases AKT and MAP kinase, as well as protein phosphatase calcineurin were found to be involved in the regulation of this protein. Alternative splicing of this gene results in two transcript variants which encode the same isoform. [provided by RefSeq, Jul 2008]","11q13.1","603167","ENSG00000002330","A0A024R562_HUMAN","572","370254"
"BAX","BCL2L4","BCL2 associated X, apoptosis regulator","The protein encoded by this gene belongs to the BCL2 protein family. BCL2 family members form hetero- or homodimers and act as anti- or pro-apoptotic regulators that are involved in a wide variety of cellular activities. This protein forms a heterodimer with BCL2, and functions as an apoptotic activator. This protein is reported to interact with, and increase the opening of, the mitochondrial voltage-dependent anion channel (VDAC), which leads to the loss in membrane potential and the release of cytochrome c. The expression of this gene is regulated by the tumor suppressor P53 and has been shown to be involved in P53-mediated apoptosis. Multiple alternatively spliced transcript variants, which encode different isoforms, have been reported for this gene. [provided by RefSeq, Jul 2008]","19q13.33","600040","ENSG00000087088","BAX_HUMAN","581","624291"
"BHLHE41","DEC2; hDEC2; BHLHB3; SHARP1","basic helix-loop-helix family member e41","This gene encodes a basic helix-loop-helix protein expressed in various tissues. The encoded protein can interact with ARNTL or compete for E-box binding sites in the promoter of PER1 and repress CLOCK/ARNTL's transactivation of PER1. This gene is believed to be involved in the control of circadian rhythm and cell differentiation. Defects in this gene are associated with the short sleep phenotype. [provided by RefSeq, Feb 2014]","12p12.1","606200","ENSG00000123095","A0A024RAV8_HUMAN","79365","177841"
"BIN1","AMPH2; AMPHL; SH3P9","bridging integrator 1","This gene encodes several isoforms of a nucleocytoplasmic adaptor protein, one of which was initially identified as a MYC-interacting protein with features of a tumor suppressor. Isoforms that are expressed in the central nervous system may be involved in synaptic vesicle endocytosis and may interact with dynamin, synaptojanin, endophilin, and clathrin. Isoforms that are expressed in muscle and ubiquitously expressed isoforms localize to the cytoplasm and nucleus and activate a caspase-independent apoptotic process. Studies in mouse suggest that this gene plays an important role in cardiac muscle development. Alternate splicing of the gene results in several transcript variants encoding different isoforms. Aberrant splice variants expressed in tumor cell lines have also been described. [provided by RefSeq, Mar 2016]","2q14.3","601248","ENSG00000136717","A0A024RAE9_HUMAN","274","193163"
